,postalcode,price,year,area,rooms,type
144818,800,46000000,2019,105,3,1
144881,550,40000000,1980,181,5,1
144895,230,72144000,2019,132,3,0
144916,730,28600000,1968,154,3,2
144965,301,65000000,2017,186,3,2
144972,230,24400000,1980,68,2,0
145031,900,20700000,1969,75,1,0
145032,900,15000000,1969,67,1,0
145038,240,38800000,1960,175,2,2
145039,250,102500000,1943,446,3,0
145040,250,102500000,1943,446,3,0
145049,300,31841000,2020,60,1,0
145051,603,27000000,2005,66,1,0
145067,800,28500000,1983,85,2,1
145097,230,38300000,2004,120,3,0
145098,230,41000000,1953,118,4,0
145106,230,15000000,2003,49,1,0
145107,230,61000000,1988,189,4,2
145113,600,27200000,1939,92,1,0
145116,250,36000000,2019,114,2,1
145125,800,38500000,2003,96,2,1
145126,600,35900000,1957,138,4,0
145129,800,30300000,2007,76,2,0
145130,810,62500000,2008,177,3,1
145140,760,10000000,1966,173,3,2
145141,800,36400000,2004,104,2,1
145144,600,28300000,1973,79,2,0
145171,300,34700000,1973,113,3,0
145178,260,29500000,2018,65,2,0
145179,260,28200000,2020,70,2,0
145180,230,16500000,1945,67,1,0
145182,603,27000000,1978,83,2,0
145184,780,26000000,1980,88,3,0
145186,900,33300000,1911,100,2,0
145189,900,24500000,1929,101,2,2
145196,110,34900000,1986,56,1,0
145197,108,79000000,2020,127,1,0
145198,108,79000000,2020,127,1,0
145200,420,12200000,1996,94,2,2
145208,540,32000000,1980,174,5,2
145210,600,37000000,2019,98,4,0
145211,600,64800000,1974,233,5,2
145212,600,36200000,1967,178,4,0
145213,600,42200000,1966,130,4,0
145214,600,34400000,2018,79,2,0
145221,815,26900000,1986,85,2,1
145222,113,96700000,2003,193,3,2
145233,221,42500000,2006,85,2,0
145241,245,38000000,2007,122,2,1
145252,113,40900000,2020,67,1,0
145253,113,40900000,2020,65,1,0
145275,203,55900000,2006,110,3,0
145276,113,42500000,2020,75,1,0
145277,220,97900000,1980,306,6,1
145278,220,125000000,1980,402,8,2
145280,625,33500000,1971,227,6,2
145289,112,52000000,1990,120,3,0
145291,109,32500000,1968,80,1,0
145292,220,78000000,1981,212,5,1
145295,203,59000000,2014,136,2,0
145297,603,59900000,1997,150,4,1
145298,600,49000000,1914,161,5,0
145307,105,32900000,1962,50,1,0
145310,108,52900000,1963,136,3,0
145312,260,38900000,2006,123,1,0
145315,580,33500000,1974,189,5,2
145316,260,52200000,2020,130,2,0
145317,109,98000000,1970,264,6,2
145321,104,37300000,1967,78,2,0
145327,105,40000000,1961,86,2,0
145332,270,36000000,1980,52,1,1
145333,200,49800000,1969,104,2,0
145338,113,40900000,2020,65,1,0
145339,221,44500000,2006,85,1,0
145340,300,35000000,2007,110,2,0
145341,270,45000000,2000,103,1,0
145342,221,31000000,2003,63,1,0
145343,300,47000000,1966,167,4,2
145344,300,41000000,2007,107,3,0
145345,105,30500000,1940,47,1,0
145346,109,43000000,1971,114,3,0
145347,221,41500000,2006,82,1,0
145352,111,68500000,1972,178,4,1
145353,600,51100000,1961,166,6,1
145355,450,12400000,1962,95,2,0
145357,109,73800000,1980,265,7,1
145358,107,41000000,1946,94,1,0
145359,107,71500000,1988,114,3,0
145360,110,47900000,2020,78,2,0
145362,450,36000000,1963,217,5,2
145363,111,27050000,1976,180,4,0
145364,113,48900000,2020,95,1,0
145365,107,84000000,1989,156,2,0
145366,101,40000000,1999,66,1,0
145372,107,78500000,1944,109,2,1
145373,111,28500000,1974,79,1,0
145376,640,30000000,1976,153,3,0
145388,230,24500000,1978,62,1,0
145389,240,45900000,1979,171,4,1
145390,240,38900000,1990,104,3,1
145393,710,12000000,1966,186,6,2
145395,240,33000000,1978,78,2,1
145397,200,57000000,2019,101,3,0
145403,600,40500000,1966,144,4,0
145404,105,43000000,1956,87,3,0
145405,101,82500000,2014,130,3,0
145406,108,39650000,1961,74,2,0
145407,221,49900000,2020,101,3,0
145409,810,66500000,2006,184,3,2
145411,111,30000000,1974,64,1,0
145412,112,47150000,1997,95,2,0
145413,109,62000000,1979,166,5,0
145415,108,47400000,1964,131,3,0
145420,113,56700000,2020,102,2,0
145421,201,46900000,2011,79,2,0
145422,101,57000000,1922,130,4,0
145425,220,53200000,1946,129,2,0
145427,225,37900000,2003,76,1,0
145428,270,85000000,1981,198,6,2
145429,105,24230000,1986,42,1,0
145431,112,43050000,1996,89,2,0
145432,108,43400000,1968,64,1,0
145440,111,32000000,1973,84,2,0
145441,105,57000000,1957,131,2,0
145442,415,32000000,1977,131,3,2
145443,200,65400000,1948,139,3,2
145445,108,53500000,2019,89,2,0
145446,200,43300000,2018,59,1,0
145452,240,42000000,1959,187,4,2
145453,103,90800000,1985,137,2,0
145454,108,138000000,1973,203,5,2
145455,101,36500000,1942,64,2,0
145456,200,56900000,2020,104,2,0
145457,110,28000000,1986,42,1,0
145458,200,53200000,1988,78,2,0
145459,800,28900000,2018,62,1,0
145464,640,15435000,1982,49,1,0
145469,600,21150000,1965,73,1,0
145470,600,19500000,1898,56,2,0
145471,800,53800000,1999,150,3,1
145472,600,71000000,2006,154,4,2
145473,600,57500000,2006,131,3,1
145474,103,56000000,1983,127,2,0
145476,105,18225000,1959,82,2,0
145481,600,42450000,2018,77,3,0
145482,109,44000000,1977,109,1,0
145484,101,46100000,1928,75,1,0
145486,105,44000000,1955,82,2,0
145487,105,34900000,1938,56,2,0
145489,203,49500000,2007,106,2,0
145490,221,39500000,2006,86,2,0
145494,221,64900000,2006,148,4,0
145500,210,65000000,1965,161,4,0
145502,200,46000000,1972,88,2,0
145504,102,54000000,1935,71,2,2
145505,220,64750000,1965,206,4,1
145506,240,32250000,2007,92,2,0
145507,260,34000000,2008,117,3,0
145511,600,34250000,2020,80,2,0
145512,101,53500000,2006,90,1,0
145514,101,45000000,2006,65,1,0
145515,200,40000000,1969,96,2,0
145520,105,180000000,1948,386,7,2
145521,201,48900000,1996,87,2,0
145522,210,64000000,2004,118,3,0
145524,110,40800000,1984,107,2,0
145527,101,270000000,1911,644,3,0
145532,220,53000000,2010,93,2,0
145535,210,72100000,2020,130,3,0
145536,200,38500000,1979,97,3,0
145537,203,44950000,2013,78,2,0
145538,270,64000000,2007,168,3,0
145539,270,94500000,2007,281,5,0
145541,270,39500000,1991,83,2,0
